route,sampleCount,avgSpeedKph,minSpeedKph,maxSpeedKph,stdDevKph,avgDelaySeconds,p50SpeedKph,p85SpeedKph,quality
7,46106,17,0.10459172084729,167.69756887156345,undefined,18.3,undefined,undefined,high
2,43647,16.4,0.13724630943697774,325.96877794641114,undefined,19.3,undefined,undefined,high
E2,38596,17.9,0.13442115525560214,59.786758305238806,undefined,18.9,undefined,undefined,medium
1,38300,15.7,0.1223144193162354,142.74957487861812,undefined,20.7,undefined,undefined,high
4,37975,18.1,0.15826365505313514,741.7368340974094,undefined,19.4,undefined,undefined,medium
14,34255,14.7,0.1881859337208946,75.1062606663638,undefined,24.6,undefined,undefined,high
9,33720,18.5,0.11989452326319913,420.44642754302754,undefined,18.1,undefined,undefined,medium
16,31475,14.2,0.11633716225720574,74.43561841585561,undefined,26.2,undefined,undefined,high
E8,30715,18.3,0.17115399949938864,180.28271828718778,undefined,17.6,undefined,undefined,medium
8,29933,17.6,0.13708401318807673,834.1013630927813,undefined,19.5,undefined,undefined,medium
E1,27518,18.4,0.1465432464727518,666.7956719376916,undefined,20.1,undefined,undefined,medium
E7,27427,19.8,0.15011315103557923,66.70740128992612,undefined,17.8,undefined,undefined,medium
33,26937,16.8,0.11791701801699382,788.6591514172037,undefined,21,undefined,undefined,medium
17,25716,14.9,0.08006034718880864,101.51450801772991,undefined,24.7,undefined,undefined,high
5,25585,18.3,0.1152364255033456,407.9943652477626,undefined,18.9,undefined,undefined,medium
40,23633,16.5,0.1882196532360581,335.0961727693819,undefined,20.7,undefined,undefined,medium
11,23569,15.7,0.18820113895403454,58.15813085006777,undefined,23.1,undefined,undefined,medium
15,23395,14.8,0.1067471295620938,572.0185572972009,undefined,25.4,undefined,undefined,medium
18,23100,14.5,0.1792159170349656,103.40366385596698,undefined,25.3,undefined,undefined,high
M14,20427,17.4,0.11066527196874441,325.41209182179387,undefined,21.8,undefined,undefined,medium
23,17626,19.8,0.1668481201268596,61.845269034733924,undefined,15.6,undefined,undefined,medium
M11,16788,17.8,0.20802517794288086,114.59108188493728,undefined,21.1,undefined,undefined,medium
33b,16301,20.6,0.18844644275964945,96.55971495407991,undefined,15.4,undefined,undefined,medium
E3,15593,19,0.17986710934219793,949.071325587953,undefined,19.2,undefined,undefined,medium
E4,13006,30.9,0.21834640137701003,1041.711312241655,undefined,10.6,undefined,undefined,low
24,12601,23.6,0.21076708010732817,70.57521480044232,undefined,11.8,undefined,undefined,medium
21,11890,20.1,0.1560940735678277,58.59968370080599,undefined,15.2,undefined,undefined,medium
13,10601,17.3,0.1882084199824733,60.70369830295432,undefined,19,undefined,undefined,high
M35,9059,25.9,0.20911419988134092,88.0210814343282,undefined,12,undefined,undefined,medium
V1,8501,8.9,0.1474210924123438,76.793164846418,undefined,32.8,undefined,undefined,high
M49,8234,25.7,0.22016595476922374,86.7726698615896,undefined,11.7,undefined,undefined,medium
M36,7940,29.6,0.12763467987426183,79.65688642751174,undefined,10.4,undefined,undefined,medium
M37,7513,34.7,0.24275964468898945,89.1867301287467,undefined,8.3,undefined,undefined,low
32,7400,19.5,0.20239467811184123,55.28269794946267,undefined,15.6,undefined,undefined,high
E4b,7120,26.1,0.18819804057076614,80.76048488699651,undefined,12.8,undefined,undefined,medium
M46,7059,32.2,0.16271424038368967,83.83556724335405,undefined,11.3,undefined,undefined,low
46,7034,22.7,0.18347162897435312,60.87881842462059,undefined,13.8,undefined,undefined,medium
28,6978,19.5,0.22016595476922374,57.259893287218425,undefined,14.7,undefined,undefined,high
M45,6912,21.1,0.2446288386324708,67.40005227703736,undefined,13.5,undefined,undefined,medium
5b,6850,20.5,0.20696398474816646,121.82909181177085,undefined,17.7,undefined,undefined,medium
M50,6823,43,0.2509553686849116,194.81923418741738,undefined,8,undefined,undefined,low
E6,6551,23.4,0.20015086797202158,84.29014106914728,undefined,15.8,undefined,undefined,medium
M43,6256,34.4,0.20912668160485123,81.25633797084457,undefined,10.5,undefined,undefined,low
M23,6087,29.1,0.1665776128249541,81.05839605171457,undefined,9.5,undefined,undefined,medium
M30,5938,23.6,0.15726139626373126,85.8207867415123,undefined,14.4,undefined,undefined,medium
M51,5773,35.4,0.2025937466044577,92.11719560276691,undefined,9.4,undefined,undefined,low
M29,5765,24.2,0.1447757076788256,59.495253159036324,undefined,11.2,undefined,undefined,medium
M22,5595,24.3,0.2091723647529112,447.27405989878093,undefined,13.6,undefined,undefined,medium
M24,5382,28.1,0.24732981622089187,78.57223534839773,undefined,10.3,undefined,undefined,medium
M41,4761,32.7,0.22140866304382456,83.14837200384004,undefined,11,undefined,undefined,low
M44,4257,35.2,0.14053228388702224,82.75574354397013,undefined,11.5,undefined,undefined,low
M47,4175,38.8,0.2236081380240004,83.60679647346993,undefined,9.1,undefined,undefined,low
M27,3917,36.9,0.20783347730168367,90.32584791649592,undefined,8.8,undefined,undefined,low
M38,2919,43.1,0.21834640150629706,91.54010684170527,undefined,6.9,undefined,undefined,low
M48,2434,41.2,0.20355741218292195,87.1657584364705,undefined,8.2,undefined,undefined,low
M42,2288,26.3,0.2284200657379063,83.81501990048032,undefined,15.4,undefined,undefined,medium
M39,1792,53.9,0.25147025377918397,98.02945500547126,undefined,2.7,undefined,undefined,low
