route,regime,avgSpeedKph,speedRatio,confidence,anomaly,source
33,blocked,16.8,1,0.85,true,both
40,blocked,16.5,1,0.85,true,both
E8,blocked,18.3,,0.65,false,probe
E1,blocked,18.4,,0.65,false,probe
M37,light,34.7,,0.65,false,probe
13,blocked,17.3,0.692,0.85,true,both
M11,blocked,17.8,0.692,0.85,true,both
E4,heavy,30.9,1,0.85,true,both
E3,blocked,19,0.667,0.85,true,both
1,blocked,15.7,0.683,0.85,true,both
E7,blocked,19.8,1,0.85,true,both
33b,heavy,20.6,1,0.85,true,both
2,blocked,16.4,,0.65,false,probe
M38,free,43.1,,0.65,false,probe
M22,heavy,24.3,,0.65,false,probe
7,blocked,17,,0.65,false,probe
M51,light,35.4,,0.65,false,probe
8,blocked,17.6,,0.65,false,probe
9,blocked,18.5,,0.65,false,probe
4,blocked,18.1,1,0.85,true,both
5,blocked,18.3,0.692,0.85,true,both
18,blocked,14.5,0.333,0.85,false,both
11,blocked,15.7,0.333,0.85,false,both
E2,blocked,17.9,,0.65,false,probe
5b,heavy,20.5,0.333,0.85,false,both
14,blocked,14.7,0.333,0.85,false,both
M14,blocked,17.4,1,0.85,true,both
16,blocked,14.2,,0.65,false,probe
15,blocked,14.8,,0.65,false,probe
17,blocked,14.9,,0.65,false,probe
E4b,heavy,26.1,0.692,0.85,false,both
M35,heavy,25.9,,0.65,false,probe
M49,heavy,25.7,1,0.85,true,both
M48,light,41.2,1,0.85,false,both
M24,heavy,28.1,,0.65,false,probe
M36,heavy,29.6,0.683,0.85,false,both
M46,heavy,32.2,,0.65,false,probe
V1,blocked,8.9,0.667,0.85,true,both
E6,heavy,23.4,1,0.85,true,both
46,heavy,22.7,,0.65,false,probe
23,blocked,19.8,,0.65,false,probe
32,blocked,19.5,1,0.85,true,both
M23,heavy,29.1,,0.65,false,probe
M43,light,34.4,1,0.85,true,both
24,heavy,23.6,,0.65,false,probe
M27,light,36.9,1,0.85,true,both
M30,heavy,23.6,1,0.85,true,both
21,heavy,20.1,,0.65,false,probe
28,blocked,19.5,1,0.85,true,both
M42,heavy,26.3,,0.65,false,probe
M39,free,53.9,,0.65,false,probe
M41,light,32.7,0.621,0.85,false,both
M50,free,43,,0.65,false,probe
M47,light,38.8,1,0.85,true,both
M44,light,35.2,1,0.85,true,both
M29,heavy,24.2,,0.65,false,probe
M45,heavy,21.1,1,0.85,true,both
tomtom-45.73791,21.20967,free,52,1,0.8,false,tomtom
tomtom-45.73683,21.20950,free,52,1,0.8,false,tomtom
tomtom-45.73559,21.20926,free,52,1,0.8,false,tomtom
tomtom-45.73396,21.20897,free,52,1,0.8,false,tomtom
tomtom-45.73466,21.22534,free,55,1,0.8,false,tomtom
tomtom-45.73416,21.22402,free,55,1,0.8,false,tomtom
tomtom-45.73724,21.23343,free,53,1,0.8,false,tomtom
tomtom-45.73678,21.23194,free,53,1,0.8,false,tomtom
tomtom-45.74960,21.20252,light,28,0.8,0.8,false,tomtom
tomtom-45.74873,21.20310,light,28,0.8,0.8,false,tomtom
tomtom-45.74749,21.20396,light,28,0.8,0.8,false,tomtom
tomtom-45.74609,21.20495,light,28,0.8,0.8,false,tomtom
tomtom-45.74487,21.20579,light,28,0.8,0.8,false,tomtom
tomtom-45.73999,21.20935,free,34,1,0.8,false,tomtom
tomtom-45.74109,21.20860,free,34,1,0.8,false,tomtom
tomtom-45.74218,21.20785,free,34,1,0.8,false,tomtom
tomtom-45.74338,21.20700,free,34,1,0.8,false,tomtom
tomtom-45.74456,21.21442,light,28,0.683,0.8,false,tomtom
tomtom-45.74827,21.22344,light,10,0.667,0.8,false,tomtom
tomtom-45.74815,21.23205,free,35,1,0.8,false,tomtom
tomtom-45.74783,21.22939,free,35,1,0.8,false,tomtom
tomtom-45.74775,21.22788,free,35,1,0.8,false,tomtom
tomtom-45.74784,21.22645,free,35,1,0.8,false,tomtom
tomtom-45.74916,21.19942,free,47,1,0.8,false,tomtom
tomtom-45.74865,21.19674,free,47,1,0.8,false,tomtom
tomtom-45.75169,21.21598,free,37,1,0.8,false,tomtom
tomtom-45.75066,21.21656,free,37,1,0.8,false,tomtom
tomtom-45.75048,21.22242,free,18,1,0.8,false,tomtom
tomtom-45.75108,21.22362,free,18,1,0.8,false,tomtom
tomtom-45.75138,21.23845,heavy,36,0.621,0.8,false,tomtom
tomtom-45.75056,21.23779,heavy,36,0.621,0.8,false,tomtom
tomtom-45.74841,21.23373,heavy,36,0.621,0.8,false,tomtom
tomtom-45.75761,21.19599,free,44,1,0.8,false,tomtom
tomtom-45.75813,21.19790,free,44,1,0.8,false,tomtom
tomtom-45.75855,21.20446,free,52,1,0.8,false,tomtom
tomtom-45.75838,21.20591,free,52,1,0.8,false,tomtom
tomtom-45.75815,21.20749,free,52,1,0.8,false,tomtom
tomtom-45.75671,21.21483,free,15,1,0.8,false,tomtom
tomtom-45.75660,21.21617,free,15,1,0.8,false,tomtom
tomtom-45.75902,21.22086,light,18,0.692,0.8,false,tomtom
tomtom-45.75860,21.22218,light,18,0.692,0.8,false,tomtom
tomtom-45.75746,21.23229,free,30,1,0.8,false,tomtom
tomtom-45.75653,21.23216,free,30,1,0.8,false,tomtom
tomtom-45.76665,21.19564,free,40,1,0.8,false,tomtom
tomtom-45.76629,21.19799,free,40,1,0.8,false,tomtom
tomtom-45.76601,21.19929,free,40,1,0.8,false,tomtom
tomtom-45.76521,21.20255,free,40,1,0.8,false,tomtom
tomtom-45.76451,21.20519,free,34,1,0.8,false,tomtom
tomtom-45.76417,21.20651,free,34,1,0.8,false,tomtom
tomtom-45.76384,21.20772,free,34,1,0.8,false,tomtom
tomtom-45.76101,21.21609,free,50,1,0.8,false,tomtom
tomtom-45.76171,21.21430,free,50,1,0.8,false,tomtom
tomtom-45.76289,21.22071,free,46,1,0.8,false,tomtom
tomtom-45.76350,21.22182,free,46,1,0.8,false,tomtom
tomtom-45.76388,21.22304,free,46,1,0.8,false,tomtom
tomtom-45.76781,21.22969,free,32,1,0.8,false,tomtom
tomtom-45.76700,21.23037,free,32,1,0.8,false,tomtom
tomtom-45.76606,21.23072,free,32,1,0.8,false,tomtom
tomtom-45.76529,21.23150,free,32,1,0.8,false,tomtom
tomtom-45.76451,21.23234,free,32,1,0.8,false,tomtom
tomtom-45.76358,21.23299,free,32,1,0.8,false,tomtom
