slot,pointId,lat,lng,currentSpeedKph,freeFlowSpeedKph,speedRatio,delaySeconds,regime
morning-rush,p-1-1,45.73885,21.20974,52,52,1,0,free
mid-morning,p-1-1,45.73885,21.20974,52,52,1,0,free
midday,p-1-1,45.73885,21.20974,52,52,1,0,free
afternoon-rush,p-1-1,45.73885,21.20974,52,52,1,0,free
evening,p-1-1,45.73885,21.20974,52,52,1,0,free
night,p-1-1,45.73885,21.20974,52,52,1,0,free
morning-rush,p-1-1,45.73879,21.20978,52,52,1,0,free
mid-morning,p-1-1,45.73879,21.20978,52,52,1,0,free
midday,p-1-1,45.73879,21.20978,52,52,1,0,free
afternoon-rush,p-1-1,45.73879,21.20978,52,52,1,0,free
evening,p-1-1,45.73879,21.20978,52,52,1,0,free
night,p-1-1,45.73879,21.20978,52,52,1,0,free
morning-rush,p-1-1,45.73874,21.2098,52,52,1,0,free
mid-morning,p-1-1,45.73874,21.2098,52,52,1,0,free
midday,p-1-1,45.73874,21.2098,52,52,1,0,free
afternoon-rush,p-1-1,45.73874,21.2098,52,52,1,0,free
evening,p-1-1,45.73874,21.2098,52,52,1,0,free
night,p-1-1,45.73874,21.2098,52,52,1,0,free
morning-rush,p-1-1,45.73867,21.2098,52,52,1,0,free
mid-morning,p-1-1,45.73867,21.2098,52,52,1,0,free
midday,p-1-1,45.73867,21.2098,52,52,1,0,free
afternoon-rush,p-1-1,45.73867,21.2098,52,52,1,0,free
evening,p-1-1,45.73867,21.2098,52,52,1,0,free
night,p-1-1,45.73867,21.2098,52,52,1,0,free
morning-rush,p-1-1,45.73852,21.20978,52,52,1,0,free
mid-morning,p-1-1,45.73852,21.20978,52,52,1,0,free
midday,p-1-1,45.73852,21.20978,52,52,1,0,free
afternoon-rush,p-1-1,45.73852,21.20978,52,52,1,0,free
evening,p-1-1,45.73852,21.20978,52,52,1,0,free
night,p-1-1,45.73852,21.20978,52,52,1,0,free
morning-rush,p-1-1,45.73837,21.20975,52,52,1,0,free
mid-morning,p-1-1,45.73837,21.20975,52,52,1,0,free
midday,p-1-1,45.73837,21.20975,52,52,1,0,free
afternoon-rush,p-1-1,45.73837,21.20975,52,52,1,0,free
evening,p-1-1,45.73837,21.20975,52,52,1,0,free
night,p-1-1,45.73837,21.20975,52,52,1,0,free
morning-rush,p-1-1,45.73823,21.20972,52,52,1,0,free
