indicator,an,valoare
Număr de tramvaie puse în funcțiune,1990-01-01T00:00:00,257
Număr de tramvaie puse în funcțiune,1991-01-01T00:00:00,257
Număr de tramvaie puse în funcțiune,1992-01-01T00:00:00,257
Număr de tramvaie puse în funcțiune,1993-01-01T00:00:00,257
Număr de tramvaie puse în funcțiune,1994-01-01T00:00:00,257
Număr de tramvaie puse în funcțiune,1995-01-01T00:00:00,199
Număr de tramvaie puse în funcțiune,1996-01-01T00:00:00,223
Număr de tramvaie puse în funcțiune,1997-01-01T00:00:00,253
Număr de tramvaie puse în funcțiune,1998-01-01T00:00:00,250
Număr de tramvaie puse în funcțiune,1999-01-01T00:00:00,217
Număr de tramvaie puse în funcțiune,2000-01-01T00:00:00,239
Număr de tramvaie puse în funcțiune,2001-01-01T00:00:00,228
Număr de tramvaie puse în funcțiune,2002-01-01T00:00:00,200
Număr de tramvaie puse în funcțiune,2003-01-01T00:00:00,189
Număr de tramvaie puse în funcțiune,2004-01-01T00:00:00,191
Număr de tramvaie puse în funcțiune,2005-01-01T00:00:00,178
Număr de tramvaie puse în funcțiune,2006-01-01T00:00:00,162
Număr de tramvaie puse în funcțiune,2007-01-01T00:00:00,108
Număr de tramvaie puse în funcțiune,2008-01-01T00:00:00,143
Număr de tramvaie puse în funcțiune,2009-01-01T00:00:00,153
Număr de tramvaie puse în funcțiune,2010-01-01T00:00:00,160
Număr de tramvaie puse în funcțiune,2011-01-01T00:00:00,147
Număr de tramvaie puse în funcțiune,2012-01-01T00:00:00,158
Număr de tramvaie puse în funcțiune,2013-01-01T00:00:00,159
Număr de tramvaie puse în funcțiune,2014-01-01T00:00:00,159
Număr de tramvaie puse în funcțiune,2015-01-01T00:00:00,153
Număr de tramvaie puse în funcțiune,2016-01-01T00:00:00,143
Număr de tramvaie puse în funcțiune,2017-01-01T00:00:00,146
Număr de tramvaie puse în funcțiune,2018-01-01T00:00:00,146
Număr de tramvaie puse în funcțiune,2019-01-01T00:00:00,82
Număr de troleibuze puse în funcțiune,1990-01-01T00:00:00,83
Număr de troleibuze puse în funcțiune,1991-01-01T00:00:00,73
Număr de troleibuze puse în funcțiune,1992-01-01T00:00:00,73
Număr de troleibuze puse în funcțiune,1993-01-01T00:00:00,70
Număr de troleibuze puse în funcțiune,1994-01-01T00:00:00,76
Număr de troleibuze puse în funcțiune,1995-01-01T00:00:00,78
Număr de troleibuze puse în funcțiune,1996-01-01T00:00:00,78
Număr de troleibuze puse în funcțiune,1997-01-01T00:00:00,71
Număr de troleibuze puse în funcțiune,1998-01-01T00:00:00,68
Număr de troleibuze puse în funcțiune,1999-01-01T00:00:00,79
Număr de troleibuze puse în funcțiune,2000-01-01T00:00:00,86
Număr de troleibuze puse în funcțiune,2001-01-01T00:00:00,111
Număr de troleibuze puse în funcțiune,2002-01-01T00:00:00,98
Număr de troleibuze puse în funcțiune,2003-01-01T00:00:00,84
Număr de troleibuze puse în funcțiune,2004-01-01T00:00:00,78
Număr de troleibuze puse în funcțiune,2005-01-01T00:00:00,67
Număr de troleibuze puse în funcțiune,2006-01-01T00:00:00,57
Număr de troleibuze puse în funcțiune,2007-01-01T00:00:00,51
Număr de troleibuze puse în funcțiune,2008-01-01T00:00:00,92
Număr de troleibuze puse în funcțiune,2009-01-01T00:00:00,50
Număr de troleibuze puse în funcțiune,2010-01-01T00:00:00,50
Număr de troleibuze puse în funcțiune,2011-01-01T00:00:00,50
Număr de troleibuze puse în funcțiune,2012-01-01T00:00:00,50
Număr de troleibuze puse în funcțiune,2013-01-01T00:00:00,50
Număr de troleibuze puse în funcțiune,2014-01-01T00:00:00,50
Număr de troleibuze puse în funcțiune,2015-01-01T00:00:00,50
Număr de troleibuze puse în funcțiune,2016-01-01T00:00:00,50
Număr de troleibuze puse în funcțiune,2017-01-01T00:00:00,50
Număr de troleibuze puse în funcțiune,2018-01-01T00:00:00,50
Număr de troleibuze puse în funcțiune,2019-01-01T00:00:00,50
Număr de autobuze puse în funcțiune,1990-01-01T00:00:00,73
Număr de autobuze puse în funcțiune,1991-01-01T00:00:00,95
Număr de autobuze puse în funcțiune,1992-01-01T00:00:00,95
Număr de autobuze puse în funcțiune,1993-01-01T00:00:00,96
Număr de autobuze puse în funcțiune,1994-01-01T00:00:00,87
Număr de autobuze puse în funcțiune,1995-01-01T00:00:00,87
Număr de autobuze puse în funcțiune,1996-01-01T00:00:00,93
Număr de autobuze puse în funcțiune,1997-01-01T00:00:00,89
Număr de autobuze puse în funcțiune,1998-01-01T00:00:00,81
Număr de autobuze puse în funcțiune,1999-01-01T00:00:00,67
Număr de autobuze puse în funcțiune,2000-01-01T00:00:00,77
Număr de autobuze puse în funcțiune,2001-01-01T00:00:00,89
Număr de autobuze puse în funcțiune,2002-01-01T00:00:00,86
Număr de autobuze puse în funcțiune,2003-01-01T00:00:00,84
Număr de autobuze puse în funcțiune,2004-01-01T00:00:00,87
Număr de autobuze puse în funcțiune,2005-01-01T00:00:00,129
Număr de autobuze puse în funcțiune,2006-01-01T00:00:00,112
Număr de autobuze puse în funcțiune,2007-01-01T00:00:00,94
Număr de autobuze puse în funcțiune,2008-01-01T00:00:00,88
Număr de autobuze puse în funcțiune,2009-01-01T00:00:00,83
Număr de autobuze puse în funcțiune,2010-01-01T00:00:00,113
Număr de autobuze puse în funcțiune,2011-01-01T00:00:00,113
Număr de autobuze puse în funcțiune,2012-01-01T00:00:00,114
Număr de autobuze puse în funcțiune,2013-01-01T00:00:00,113
Număr de autobuze puse în funcțiune,2014-01-01T00:00:00,108
Număr de autobuze puse în funcțiune,2015-01-01T00:00:00,108
Număr de autobuze puse în funcțiune,2016-01-01T00:00:00,108
Număr de autobuze puse în funcțiune,2017-01-01T00:00:00,108
Număr de autobuze puse în funcțiune,2018-01-01T00:00:00,99
Număr de autobuze puse în funcțiune,2019-01-01T00:00:00,105
Număr călători cu tramvaiul (mii pasageri) TIMIS,1990-01-01T00:00:00,80062
Număr călători cu tramvaiul (mii pasageri) TIMIS,1991-01-01T00:00:00,105436
Număr călători cu tramvaiul (mii pasageri) TIMIS,1992-01-01T00:00:00,122370
Număr călători cu tramvaiul (mii pasageri) TIMIS,1993-01-01T00:00:00,72471
Număr călători cu tramvaiul (mii pasageri) TIMIS,1994-01-01T00:00:00,65184
Număr călători cu tramvaiul (mii pasageri) TIMIS,1995-01-01T00:00:00,58433
Număr călători cu tramvaiul (mii pasageri) TIMIS,1996-01-01T00:00:00,52347
Număr călători cu tramvaiul (mii pasageri) TIMIS,1997-01-01T00:00:00,53815
Număr călători cu tramvaiul (mii pasageri) TIMIS,1998-01-01T00:00:00,50676
Număr călători cu tramvaiul (mii pasageri) TIMIS,1999-01-01T00:00:00,51360
Număr călători cu tramvaiul (mii pasageri) TIMIS,2000-01-01T00:00:00,47428
Număr călători cu tramvaiul (mii pasageri) TIMIS,2001-01-01T00:00:00,49626
Număr călători cu tramvaiul (mii pasageri) TIMIS,2002-01-01T00:00:00,45743
Număr călători cu tramvaiul (mii pasageri) TIMIS,2003-01-01T00:00:00,50262
Număr călători cu tramvaiul (mii pasageri) TIMIS,2004-01-01T00:00:00,40786
Număr călători cu tramvaiul (mii pasageri) TIMIS,2005-01-01T00:00:00,30296
Număr călători cu tramvaiul (mii pasageri) TIMIS,2006-01-01T00:00:00,32895
Număr călători cu tramvaiul (mii pasageri) TIMIS,2007-01-01T00:00:00,43413
Număr călători cu tramvaiul (mii pasageri) TIMIS,2008-01-01T00:00:00,47893
Număr călători cu tramvaiul (mii pasageri) TIMIS,2009-01-01T00:00:00,58355
