collectedAt,timeSlot,incidentId,type,severity,lat,lng
2026-05-14T20:04:08.570Z,all,inc-0,8,,45.7569274493,21.1943998563
2026-05-14T20:04:08.570Z,all,inc-1,8,,45.7487587712,21.2031975019
2026-05-14T20:04:08.570Z,all,inc-2,8,,45.7474887759,21.2039632726
2026-05-14T20:04:08.570Z,all,inc-3,8,,45.7456809729,21.2053177881
2026-05-14T20:04:08.570Z,all,inc-4,8,,45.7460859746,21.2049503255
2026-05-14T20:04:08.570Z,all,inc-5,8,,45.7451981726,21.2021702158
2026-05-14T20:04:08.570Z,all,inc-6,8,,45.7469214712,21.207240932
2026-05-14T20:04:08.570Z,all,inc-7,9,,45.7372440581,21.2334367263
2026-05-14T20:04:08.570Z,all,inc-8,9,,45.7371394573,21.2335064638
2026-05-14T20:04:08.570Z,all,inc-9,9,,45.7343271563,21.2377658117
2026-05-14T20:04:08.570Z,all,inc-10,9,,45.7343244651,21.2377658117
